unique_id,timestamp,x_shape,eval_test,model_version,model_version_note,runtime
66d6a30a-78b7-4344-8461-9a543b8c0ab7,1612446019.689261,21 x 1,"{'country': 'United Kingdom', 'rmse': 4805.55, 'mape': 19}",0.1,auto_arima,000:00:01
e5cd1411-6525-4986-bac4-b76a1adfefd7,1612446019.8158798,21 x 1,"{'country': 'France', 'rmse': 230.66, 'mape': 26}",0.1,auto_arima,000:00:01
21021281-8191-45c5-9ecb-5ed3fb718988,1612446019.92094,21 x 1,"{'country': 'Belgium', 'rmse': 156.52, 'mape': 48}",0.1,auto_arima,000:00:01
916c121e-6411-47a7-be66-869206aaa92b,1612446020.027772,21 x 1,"{'country': 'EIRE', 'rmse': 442.61, 'mape': 24}",0.1,auto_arima,000:00:01
dd253d23-01ab-4c31-8d80-6554337453ae,1612446020.134541,21 x 1,"{'country': 'Germany', 'rmse': 385.81, 'mape': 36}",0.1,auto_arima,000:00:01
c825be7f-dcf8-4712-b359-5cfe93199cd3,1612446020.2381299,21 x 1,"{'country': 'Portugal', 'rmse': 2895.75, 'mape': 68}",0.1,auto_arima,000:00:02
c78ee82b-a221-4e78-9678-c9a2beeb43c7,1612446020.3417852,21 x 1,"{'country': 'Netherlands', 'rmse': 358.91, 'mape': 958}",0.1,auto_arima,000:00:02
b04d18d4-9c84-4bb8-9b9d-68d80d96ef8a,1612446020.4435132,21 x 1,"{'country': 'Spain', 'rmse': 233.64, 'mape': 51}",0.1,auto_arima,000:00:02
dacabec4-3d1f-4f9a-8f18-65646711eb38,1612446020.545503,21 x 1,"{'country': 'Norway', 'rmse': 1344.39, 'mape': 100}",0.1,auto_arima,000:00:02
7af61784-57f4-4231-9be3-349198155128,1612446020.6473658,21 x 1,"{'country': 'Switzerland', 'rmse': 471.57, 'mape': 44}",0.1,auto_arima,000:00:02
