unique_id,timestamp,y_pred,y_proba,query,model_version,runtime
426f8b12-eb91-4ed5-856b-6cfafc102c61,1612432488.962044,"[28731.76037037 37276.21807692 48939.11352941 16083.59222222
 13711.76666667 15405.74269231 17659.83571429 16284.0908
 23004.52576923 25921.58333333]",None,"{'date': '01/08/2019', 'country': 'united kingdom'}",0.1,000:00:00
e6b8c867-a38c-49bc-8e26-7fcd5ce8969e,1612438747.227287,"[15405.74269231 17659.83571429 16284.0908     23004.52576923
 25921.58333333 36219.1612     50999.35166667 16284.0908
 23004.52576923 25921.58333333]",None,"{'date': '01/08/2019', 'country': 'united kingdom'}",0.1,000:00:00
42d01d88-6179-4c11-87d1-896bfe91daea,1612438980.2892501,"[28731.76037037 37276.21807692 48939.11352941 16083.59222222
 13711.76666667 15405.74269231 17659.83571429 16284.0908
 23004.52576923 25921.58333333]",None,"{'date': '01/08/2019', 'country': 'united kingdom'}",0.1,000:00:00
6719f7e9-f73d-41bb-a367-033ea85faeff,1612439229.645344,"[28731.76037037 37276.21807692 48939.11352941 16083.59222222
 13711.76666667 15405.74269231 17659.83571429 16284.0908
 23004.52576923 25921.58333333]",None,"{'date': '01/08/2019', 'country': 'united kingdom'}",0.1,000:00:00
5ae7fc24-8d1f-4b85-9caa-270281e574ef,1612439329.43619,"[28731.76037037 37276.21807692 48939.11352941 16083.59222222
 13711.76666667 15405.74269231 17659.83571429 16284.0908
 23004.52576923 25921.58333333]",None,"{'date': '01/08/2019', 'country': 'united kingdom'}",0.1,000:00:00
afe4f281-4381-4fe0-a6c0-cf98f78016c0,1612440021.352841,"[28731.76037037 37276.21807692 48939.11352941 16083.59222222
 13711.76666667 15405.74269231 17659.83571429 16284.0908
 23004.52576923 25921.58333333]",None,"{'date': '01/08/2019', 'country': 'united kingdom'}",0.1,000:00:00
f62689be-c275-47ae-b938-fb3813cfba64,1612445482.421642,"[16554.235      22144.64       13554.39777778 16612.92538462
 22462.5432     28731.76037037 37276.21807692 48939.11352941
 16083.59222222 13711.76666667]",None,"{'date': '01/08/2019', 'country': 'united kingdom'}",0.1,000:00:00
03023d62-8fb6-48f1-badc-56c78afdd0dc,1612445592.029867,"[16554.235      22144.64       13554.39777778 16612.92538462
 22462.5432     28731.76037037 37276.21807692 48939.11352941
 16083.59222222 13711.76666667]",None,"{'country': 'United Kingdom', 'date': '01/08/2019'}",0.1,000:00:00
37f026e1-5a2c-416e-8e40-f97ed3ebe18d,1612445636.511515,"[16554.235      22144.64       13554.39777778 16612.92538462
 22462.5432     28731.76037037 37276.21807692 48939.11352941
 16083.59222222 13711.76666667]",None,"{'country': 'United Kingdom', 'date': '01/08/2019'}",0.1,000:00:00
9ba9e346-eac7-46c9-84ac-3ab76b560ab9,1612446053.532825,"[16554.235      22144.64       13554.39777778 16612.92538462
 22462.5432     28731.76037037 37276.21807692 48939.11352941
 16083.59222222 13711.76666667]",None,"{'country': 'United Kingdom', 'date': '01/08/2019'}",0.1,000:00:00
337f159e-1ddd-475c-ba35-96890c5088f3,1612446078.3049119,"[16554.235      22144.64       13554.39777778 16612.92538462
 22462.5432     28731.76037037 37276.21807692 48939.11352941
 16083.59222222 13711.76666667]",None,"{'country': 'United Kingdom', 'date': '01/08/2019'}",0.1,000:00:00
16bedd3c-408f-48e3-b16a-acea11507eae,1612450929.593493,"[16554.235      22144.64       13554.39777778 16612.92538462
 22462.5432     28731.76037037 37276.21807692 48939.11352941
 16083.59222222 13711.76666667]",None,"{'country': 'United Kingdom', 'date': '01/08/2019'}",0.1,000:00:00
292e9020-2962-4f80-85ec-2418debde66b,1612451378.017689,"[16554.235      22144.64       13554.39777778 16612.92538462
 22462.5432     28731.76037037 37276.21807692 48939.11352941
 16083.59222222 13711.76666667]",None,"{'country': 'United Kingdom', 'date': '01/08/2019'}",0.1,000:00:00
b60eb897-a1ea-4766-83ea-cbef3a1a31a5,1612451396.833058,"[16554.235      22144.64       13554.39777778 16612.92538462
 22462.5432     28731.76037037 37276.21807692 48939.11352941
 16083.59222222 13711.76666667]",None,"{'country': 'United Kingdom', 'date': '01/08/2019'}",0.1,000:00:00
